timestamp,src,dst,protocol,label
1399902781.603244,04:da:d2:c9:9c:c1,34:07:fb:11:c8:29,Ethernet,normal
1399902781.604746,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902781.704922,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902781.909601,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902781.909781,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902781.910333,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902781.910698,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902782.059346,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902782.084582,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902782.086228,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902782.094212,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902782.135548,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902783.061303,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902783.086751,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902783.08861,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902783.09629,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902783.137278,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902783.183055,04:da:d2:c9:9c:c1,34:07:fb:11:c8:29,Ethernet,normal
1399902783.203278,34:07:fb:11:c8:29,04:da:d2:c9:9c:c1,Ethernet,normal
1399902783.23213,34:07:fb:11:c8:29,04:da:d2:c9:9c:c1,Ethernet,normal
1399902783.235081,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902783.243615,04:da:d2:c9:9c:c1,34:07:fb:11:c8:29,Ethernet,normal
1399902783.304748,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902783.514357,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902783.517298,04:da:d2:c9:9c:c1,34:07:fb:11:c8:29,Ethernet,normal
1399902783.604203,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902783.649159,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902783.649269,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902783.64941,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902783.649444,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902783.650875,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902783.651042,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902783.651166,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902783.651413,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902783.698316,04:da:d2:c9:9c:c1,34:07:fb:11:c8:29,Ethernet,normal
1399902783.698498,34:07:fb:11:c8:29,04:da:d2:c9:9c:c1,Ethernet,normal
1399902783.894951,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902783.895646,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902783.964742,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902784.059111,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902784.084352,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902784.085957,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902784.09449,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902784.135803,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902784.486712,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902784.547259,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902784.962107,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902784.96229,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902785.06115,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902785.084099,34:07:fb:11:c8:00,01:00:5e:00:00:05,Ethernet,normal
1399902785.086579,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902785.089015,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902785.096121,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902785.116041,34:07:fb:11:c8:29,04:da:d2:c9:9c:c1,Ethernet,normal
1399902785.117688,04:da:d2:c9:9c:c1,34:07:fb:11:c8:29,Ethernet,normal
1399902785.137663,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902785.916433,04:da:d2:c9:9c:c1,34:07:fb:11:c8:29,Ethernet,normal
1399902785.916616,34:07:fb:11:c8:29,04:da:d2:c9:9c:c1,Ethernet,normal
1399902785.917088,04:da:d2:c9:9c:c1,34:07:fb:11:c8:29,Ethernet,normal
1399902785.917288,34:07:fb:11:c8:29,04:da:d2:c9:9c:c1,Ethernet,normal
1399902786.059339,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902786.083958,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902786.085485,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902786.094142,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902786.135662,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902786.664759,04:da:d2:c9:9c:c1,01:00:5e:00:00:05,Ethernet,normal
1399902786.937816,34:07:fb:11:c8:29,04:da:d2:c9:9c:c1,Ethernet,normal
1399902786.939237,04:da:d2:c9:9c:c1,34:07:fb:11:c8:29,Ethernet,normal
1399902787.060858,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902787.086287,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
1399902787.087784,04:da:d2:c9:9c:c3,34:07:fb:11:c8:00,Ethernet,normal
1399902787.095826,34:07:fb:11:c8:00,04:da:d2:c9:9c:c3,Ethernet,normal
