_time,c_timestamp,c_cggt,c_imsi,f_c_ossn_others,f_same_cggt_is_gmlc_oc,f_same_cggt_is_gmlc_ossn,f_same_cggt_is_hlr_oc,f_same_cggt_is_hlr_ossn,f_velocity_greater_than_1000,f_count_unloop_country_last_x_hours_ul,f_count_gap_ok_sai_and_all_lu,f_one_cggt_multi_cdgt_psi,f_count_ok_cl_between2lu,f_count_ok_dsd_between2lu,f_count_ok_fwsm_mo_between2lu,f_count_ok_fwsm_mt_between2lu,f_count_ok_fwsm_report_between2lu,f_count_ok_fwsm_submit_between2lu,f_count_ok_isd_between2lu,f_count_ok_prn_between2lu,f_count_ok_psi_between2lu,f_count_ok_purge_ms_between2lu,f_count_ok_sai_between2lu,f_count_ok_si_between2lu,f_count_ok_sri_between2lu,f_count_ok_srism_between2lu,f_count_ok_ul_between2lu,f_count_ok_ulgprs_between2lu,f_count_ok_ussd_between2lu,f_frequent_ok_cl_between2lu,f_frequent_ok_dsd_between2lu,f_frequent_ok_fwsm_mo_between2lu,f_frequent_ok_fwsm_mt_between2lu,f_frequent_ok_fwsm_report_between2lu,f_frequent_ok_fwsm_submit_between2lu,f_frequent_ok_isd_between2lu,f_frequent_ok_prn_between2lu,f_frequent_ok_psi_between2lu,f_frequent_ok_purge_ms_between2lu,f_frequent_ok_sai_between2lu,f_frequent_ok_si_between2lu,f_frequent_ok_sri_between2lu,f_frequent_ok_srism_between2lu,f_frequent_ok_ul_between2lu,f_frequent_ok_ulgprs_between2lu,f_frequent_ok_ussd_between2lu
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_1710,783506353448398,1,0,1,1,0,1,8,9,0,0,5,1,4,3,0,3,3,3,5,1,5,5,0,5,0,3,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_4582,551644845272720,0,1,0,1,1,0,1,9,0,4,0,1,5,4,2,5,4,4,2,3,3,5,2,5,3,3,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_1402,287747396020869,0,1,1,1,1,1,0,4,0,3,5,3,0,0,5,3,2,3,1,3,5,4,4,3,1,4,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_8761,777613457421131,0,0,0,1,1,0,4,6,1,2,1,3,5,2,4,5,5,2,0,5,3,4,1,0,2,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_9863,628671073143302,1,0,1,1,0,0,1,9,0,1,2,0,4,3,5,2,0,3,0,2,4,4,3,2,4,5,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_7059,749466875388600,0,1,0,0,0,0,9,0,1,1,3,2,3,3,2,5,4,3,1,2,0,2,3,4,3,4,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_4591,761452863938517,0,1,0,1,1,1,3,5,0,4,3,4,5,2,2,4,5,1,0,1,5,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_6452,384221932572398,0,0,1,1,0,0,2,10,0,4,2,3,0,2,1,0,2,4,4,1,1,3,5,0,3,2,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_8651,699730547751526,0,0,0,1,0,0,2,0,0,2,3,5,5,5,3,0,2,2,1,4,5,3,5,5,1,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_7523,501035113937272,1,1,1,1,0,0,9,7,1,3,5,5,1,3,0,5,0,0,1,2,0,2,4,2,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_6088,858103811169069,0,1,1,1,0,0,0,0,0,2,2,4,2,1,0,1,3,2,0,0,2,0,2,5,3,5,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_3844,674475073151522,1,0,1,1,0,1,3,0,0,4,2,3,5,1,5,0,0,5,1,3,0,3,3,5,1,3,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_9149,396629088874217,1,0,0,1,1,0,4,8,1,4,0,3,1,2,2,2,1,5,3,2,4,0,1,2,5,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_7616,123223287397313,0,1,0,0,0,0,4,4,1,5,0,2,2,4,1,5,5,0,2,2,2,0,4,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_9507,194754644697749,1,1,1,0,1,1,8,5,1,0,2,4,2,5,0,4,1,2,4,0,1,2,2,0,5,2,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_3834,186117794750634,0,0,0,1,0,0,2,5,0,3,1,0,5,3,2,3,4,1,5,4,0,3,5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_4765,400035978754665,1,0,0,0,1,0,6,1,1,3,3,0,5,3,0,1,1,1,5,0,3,3,2,3,4,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_4313,149995444935452,0,1,1,0,1,1,1,4,1,5,5,1,0,0,5,3,1,4,3,1,5,1,0,0,3,3,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_8720,630262216401883,0,1,0,0,1,0,3,7,0,4,4,4,5,3,3,3,1,2,0,3,2,1,3,1,2,3,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_4663,147476775011086,1,1,1,1,0,1,0,4,1,1,3,5,5,0,4,3,3,3,4,2,0,1,1,1,1,5,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_8040,730798556409933,0,0,1,1,0,1,2,10,0,1,2,1,4,1,5,4,0,4,3,0,1,0,2,5,0,5,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_7162,614010528616878,0,0,0,0,0,0,5,5,1,0,3,4,0,2,1,4,4,5,2,2,0,5,0,2,5,5,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_7138,620557066726905,0,0,0,1,1,1,6,3,0,0,1,5,0,5,2,2,0,3,1,3,3,1,0,5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2025-04-30 14:07:41,2025-04-30 14:07:41,CGGT_4806,893483889362261,0,0,1,1,1,0,2,10,1,3,2,0,5,0,4,3,5,5,0,3,1,3,4,3,1,3,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0
